id volume peso recompensa duração(s)
4260 23 13 206 128
6970 10 13 419 950
8891 3 13 1889 538
549 19 3 762 269
4671 19 3 784 755
3372 19 9 1897 881
5343 3 13 472 300
7430 19 22 1897 986
10322 29 29 1019 326
13234 22 25 914 337
4038 19 25 854 790
7205 25 28 1370 535
4612 25 25 371 509
6856 13 20 1951 729
140 6 22 794 783
1846 22 3 480 1037
9125 3 23 571 632
14036 13 23 1714 347
6038 22 16 1175 863
8954 10 29 676 526
8050 6 6 1921 197
11053 22 9 1509 598
11614 22 3 480 1037
3871 16 22 491 581
58 6 3 615 970
