id volMax pesoMax custo
347 285 258 13044
1254 394 379 13241
906 368 308 16575
554 258 289 14932
161 385 254 14819
643 385 254 14819
825 277 399 14862
327 370 366 13618
519 253 386 13481
18 296 271 13742
1311 259 354 13356
1388 394 379 13241
228 366 375 15556
641 393 377 16543
597 277 399 14862
885 262 384 15363
932 335 383 16287
931 382 304 14967
584 328 398 13956
452 335 265 15168
947 378 272 15057
559 308 371 13865
582 328 398 13956
441 281 287 14581
847 395 315 16790
841 281 287 14581
398 397 321 13931
139 278 386 16833
107 292 316 16581
110 296 271 13742
