id volume peso recompensa duração(s)
10152 19 3 1547 279
562 10 19 1278 267
12067 7 23 1303 229
9759 16 16 772 229
11014 9 19 1281 241
5836 13 23 1714 347
8677 22 16 644 313
3206 26 26 1170 838
5869 26 22 1513 447
5165 19 13 1784 152
7620 25 28 1370 535
7813 25 16 1200 591
11449 10 22 1694 969
14290 25 28 1370 535
502 16 13 671 726
2306 9 19 1281 241
7308 19 25 854 790
5838 19 13 884 455
11126 6 16 1023 132
11351 6 10 465 900
4226 16 3 227 464
273 22 6 683 553
11326 10 19 1278 267
10019 10 22 1694 969
2220 19 28 946 1021
4157 29 26 719 600
5714 3 13 1210 892
10965 20 10 1569 720
2988 16 28 1821 660
56 10 13 347 187
10795 3 16 1105 256
12415 10 16 1202 634
8558 28 22 1166 491
6786 16 22 491 581
11545 25 6 653 107
7653 3 16 753 124
12715 13 3 795 302
12866 3 16 1391 846
7068 3 20 1263 905
4810 19 16 1319 385
13822 7 29 598 161
12950 26 26 1170 838
6720 19 13 1040 651
5856 6 26 1143 180
12379 19 3 522 1009
3115 13 10 629 410
10258 9 13 211 1039
2125 6 29 834 900
7823 19 16 1967 865
14279 16 29 1083 521
