id volMax pesoMax custo
106 368 308 16575
13 368 308 16575
216 265 274 14952
1261 366 375 15556
1127 370 366 13618
728 292 289 14548
763 258 289 14932
587 398 378 15048
757 393 377 16543
615 344 306 14015
848 335 265 15168
701 265 274 14952
745 391 395 13796
1099 385 254 14819
1314 394 379 13241
229 287 304 15787
1077 393 377 16543
38 255 275 13025
55 366 375 15556
145 287 342 15977
845 259 310 16154
533 365 259 16982
568 398 378 15048
182 288 346 13476
1267 366 375 15556
657 255 275 13025
1346 376 262 16090
660 255 275 13025
521 391 395 13796
258 292 289 14548
224 365 259 16982
1339 285 258 13044
785 308 371 13865
616 335 381 15531
392 292 316 16581
664 262 389 15106
1053 292 289 14548
16 292 316 16581
274 259 310 16154
1001 368 308 16575
247 382 304 14967
115 355 322 13718
