id volume peso recompensa duração(s)
13599 3 10 579 103
4537 3 22 940 937
14303 23 26 1594 1052
13690 22 13 1897 272
9622 6 3 1176 551
349 9 22 909 192
13389 6 29 1800 116
5721 7 3 1607 273
6339 22 19 287 752
12216 23 29 957 387
11361 28 19 828 888
3287 10 13 419 950
10430 3 10 984 463
8890 20 20 418 893
13777 10 10 553 631
7685 16 28 1821 660
10731 3 20 1263 905
10226 16 19 1873 697
10114 13 6 1987 926
2002 19 6 1108 1031
5239 3 13 633 583
7402 23 16 868 608
5625 13 25 1026 365
4783 6 29 1859 261
8520 10 29 1065 111
11864 7 23 1303 229
13361 25 13 546 1056
12474 3 10 984 463
1415 3 13 472 300
10500 25 28 1370 535
4043 10 29 1065 111
10425 3 13 1210 892
2391 16 20 816 1079
10517 20 7 386 964
13155 6 22 666 504
11401 3 9 1558 1056
11737 3 22 940 937
10332 19 25 844 478
11443 7 10 801 919
8496 28 6 1065 121
13193 16 13 671 726
8078 22 16 982 229
13356 7 23 907 152
1691 3 13 1889 538
7029 13 26 1073 1066
10593 6 6 442 900
3313 10 29 1488 1094
11049 23 20 1786 1041
740 19 22 1440 777
3511 6 3 1347 609
3137 26 26 1790 648
4163 3 13 1889 538
5018 3 3 575 287
1341 6 16 1023 132
4626 25 6 216 182
10877 20 23 1236 246
9311 16 28 935 528
9780 19 26 836 356
11878 10 26 1843 187
14324 6 3 1347 609
5444 19 13 1040 651
115 3 23 697 699
10045 13 9 820 552
11440 20 23 1551 986
13956 22 19 1628 332
5317 3 13 1306 202
12816 16 13 1477 513
2277 6 6 1058 294
5810 13 10 1614 331
11157 9 6 748 381
11354 29 19 1268 1095
9113 16 28 875 1094
5440 22 16 1819 768
6618 10 29 1488 1094
6556 10 29 1194 399
13118 26 22 1487 269
2602 6 19 1243 977
9168 16 29 1142 878
1858 29 22 561 236
6181 13 20 1925 840
4963 28 22 1166 491
3629 28 6 707 517
6867 16 3 262 658
8222 10 29 1194 399
6347 20 16 851 446
7311 23 29 957 387
4667 6 13 1201 715
14057 16 16 1633 195
5570 3 13 530 916
5139 19 10 1820 348
2497 16 20 816 1079
6626 19 6 324 237
7699 25 22 1331 509
7757 29 10 483 1038
5617 6 13 1713 686
8945 6 6 1445 1014
2159 23 20 1786 1041
10497 16 28 1863 653
12894 9 9 1137 1019
6236 29 10 1657 287
1951 6 19 486 789
5373 13 10 738 190
4354 19 6 217 732
12051 26 26 1261 1009
12224 22 9 1805 279
7171 6 29 834 900
401 16 6 1332 642
7958 29 29 763 971
5212 26 16 403 402
10708 16 22 491 581
13603 22 19 783 277
1931 16 13 654 720
2279 3 3 715 977
1129 10 13 419 950
3830 3 23 1410 1028
11652 26 16 1296 524
2158 25 6 653 107
10807 23 29 1789 900
1475 3 16 1105 256
11877 13 10 606 592
14229 13 26 1073 1066
12826 25 22 471 448
11537 3 16 501 692
12058 10 3 547 766
2026 22 3 1565 763
941 22 3 1565 763
8772 13 23 1714 347
9464 16 16 706 408
1316 22 19 470 470
7919 10 13 419 950
18 3 3 699 786
11787 26 6 1156 1073
2041 19 22 1897 986
3643 7 7 828 643
865 3 13 1313 1080
9959 16 6 1907 397
3578 9 25 1529 1008
12646 10 13 347 187
9580 19 29 1523 353
7142 3 22 1662 201
13759 3 7 1565 226
14081 10 10 588 654
11557 7 13 898 325
4129 3 20 1645 316
13164 10 13 347 187
6326 19 22 1440 777
6170 16 26 1590 728
4842 19 22 1440 777
1771 25 28 1909 396
6012 3 16 1796 762
9825 23 23 1382 991
6301 3 19 952 540
6077 20 3 1785 160
1438 13 29 626 332
4125 29 19 1268 1095
8921 26 22 1628 925
8929 22 28 347 1058
6431 19 28 946 1021
673 3 10 1791 520
8940 16 6 1332 642
3561 16 16 706 408
10784 22 29 1500 828
2641 26 7 738 375
11521 22 3 338 357
5099 19 6 1204 453
4556 16 28 1821 660
11567 10 19 709 692
10666 23 26 1913 600
7609 16 10 1309 888
12205 16 3 1518 1053
13415 6 26 1991 318
13367 22 3 1565 763
376 22 22 318 898
4817 7 13 1210 414
9345 19 13 884 455
6452 6 6 1058 294
1694 28 9 1185 918
5080 26 10 574 593
12788 23 23 1382 991
3089 28 22 330 563
5562 28 19 828 888
4621 26 26 1170 838
10659 19 3 638 618
7613 7 16 789 650
7784 10 13 419 950
10324 29 13 1014 130
13492 19 22 1719 159
6637 16 13 1718 114
9751 28 6 1208 309
3663 16 13 654 720
925 13 29 1511 325
8810 28 6 1208 309
2240 7 3 1823 958
3763 28 19 828 888
551 19 19 1956 207
6354 19 3 1814 369
12018 3 16 753 124
7390 10 26 410 192
8876 3 19 585 827
