id volMax pesoMax custo
370 310 387 14105
1271 325 316 13378
645 388 268 14521
326 388 268 14521
449 262 384 15363
30 370 366 13618
746 287 304 15787
975 285 258 13044
819 309 377 15136
760 268 346 14777
425 378 272 15057
10 256 289 14860
1040 281 287 14581
479 255 275 13025
668 288 346 13476
288 268 346 14777
690 335 265 15168
60 296 271 13742
1081 258 289 14932
486 292 289 14548
220 253 386 13481
726 309 377 15136
738 262 389 15106
1327 335 265 15168
491 344 306 14015
451 388 268 14521
429 259 354 13356
731 262 389 15106
1262 378 272 15057
754 394 351 15473
802 355 322 13718
8 259 310 16154
85 262 384 15363
1000 285 258 13044
778 394 379 13241
1194 281 287 14581
375 265 274 14952
1147 285 258 13044
1114 388 268 14521
470 376 262 16090
368 335 381 15531
268 397 321 13931
1367 395 315 16790
1255 378 272 15057
901 395 315 16790
1178 325 316 13378
628 281 287 14581
185 388 268 14521
49 309 377 15136
762 394 379 13241
