id volMax pesoMax custo
1122 288 346 13476
724 398 378 15048
325 287 304 15787
122 288 346 13476
548 308 371 13865
280 278 386 16833
79 268 346 14777
876 259 310 16154
502 393 377 16543
913 336 345 14342
87 355 322 13718
1243 335 381 15531
892 309 377 15136
887 355 322 13718
83 378 272 15057
294 285 258 13044
243 253 386 13481
319 365 301 13406
442 309 377 15136
539 285 258 13044
62 398 378 15048
1031 277 399 14862
306 292 316 16581
404 309 377 15136
129 394 351 15473
57 397 321 13931
433 394 351 15473
1144 255 275 13025
406 335 381 15531
1277 259 310 16154
