volume peso recompensa duração(s)
25 25 371 509
23 29 1789 900
10 19 1278 267
22 25 1227 810
20 10 1569 720
22 13 226 631
3 19 952 540
13 10 1614 331
6 16 1023 132
25 16 1200 591
16 29 1593 882
26 16 1296 524
9 13 211 1039
10 3 1641 417
6 6 631 145
3 16 220 351
23 13 206 128
26 19 244 1055
16 19 1873 697
16 26 1789 1077
6 26 1143 180
19 25 844 478
29 26 1724 482
29 22 561 236
22 13 1897 272
13 13 1008 398
13 3 795 302
3 16 1456 192
13 29 719 531
22 10 1079 154
13 13 1714 399
3 3 715 977
6 29 1859 261
19 13 1904 276
7 7 1524 189
6 29 1800 116
3 13 1889 538
29 10 1463 145
22 16 1175 863
6 3 453 537
3 10 1475 786
16 3 262 658
3 22 1662 201
16 13 654 720
6 19 486 789
