volume peso recompensa duração(s)
3 13 1306 202
29 10 1657 287
19 13 1875 107
25 13 546 1056
13 13 967 355
19 22 1897 986
16 16 706 408
23 29 957 387
10 6 542 430
22 6 683 553
29 23 1148 789
16 29 1002 441
13 6 1987 926
10 13 1315 328
6 22 666 504
19 13 1040 651
3 10 1791 520
19 13 884 455
9 9 427 447
20 23 204 293
19 22 691 728
6 19 996 631
20 13 1054 815
26 26 1261 1009
19 3 522 1009
7 29 598 161
19 19 1956 207
28 6 1208 309
13 29 626 332
16 16 878 697
16 3 704 1025
29 26 1522 215
19 19 1990 106
19 16 1489 751
20 7 894 300
13 6 1062 195
19 3 1547 279
13 26 1639 927
10 22 1694 969
19 3 638 618
13 23 916 1026
29 10 243 775
22 28 1717 549
20 23 1551 986
3 13 355 737
