volume peso recompensa duração(s)
19 28 486 840
26 29 267 777
6 6 779 122
22 19 602 291
7 20 1577 1043
26 26 1170 838
22 28 1002 795
7 10 1672 419
3 3 355 869
6 16 618 1039
3 10 984 463
10 6 1765 970
28 22 330 563
10 29 1065 111
19 22 1260 355
19 3 1982 619
7 13 734 917
26 22 1065 616
13 16 1838 354
3 23 571 632
6 22 597 540
9 25 849 1008
7 16 789 650
10 13 347 187
16 6 1907 397
23 26 1913 600
10 29 676 526
16 28 875 1094
7 29 743 826
3 22 940 937
6 19 1243 977
29 13 1014 130
26 6 1156 1073
19 25 305 782
10 16 1202 634
19 6 217 732
9 13 1442 168
7 7 501 800
26 19 1397 1043
13 3 699 1056
13 23 1714 347
16 6 1188 697
28 19 828 888
10 29 1488 1094
19 3 784 755
