volume peso recompensa duração(s)
3 13 355 737
20 23 1551 986
22 28 1717 549
29 10 243 775
13 23 916 1026
19 3 638 618
10 22 1694 969
13 26 1639 927
19 3 1547 279
13 6 1062 195
20 7 894 300
19 16 1489 751
19 19 1990 106
29 26 1522 215
16 3 704 1025
16 16 878 697
13 29 626 332
28 6 1208 309
19 19 1956 207
7 29 598 161
19 3 522 1009
26 26 1261 1009
20 13 1054 815
6 19 996 631
19 22 691 728
20 23 204 293
9 9 427 447
19 13 884 455
3 10 1791 520
19 13 1040 651
6 22 666 504
10 13 1315 328
13 6 1987 926
16 29 1002 441
29 23 1148 789
22 6 683 553
10 6 542 430
23 29 957 387
16 16 706 408
19 22 1897 986
13 13 967 355
25 13 546 1056
19 13 1875 107
29 10 1657 287
3 13 1306 202
