volume peso recompensa duração(s)
9 6 1467 681
20 16 823 524
3 19 901 980
28 6 1636 436
7 7 828 643
16 29 1083 521
16 28 935 528
20 3 1785 160
6 29 834 900
16 16 1633 195
3 13 1313 1080
6 13 1713 686
19 28 512 778
26 7 618 442
22 29 1448 487
19 28 213 755
13 3 690 686
16 29 1142 878
28 6 1953 299
10 13 414 478
19 6 324 237
25 22 580 176
20 16 1200 991
19 16 1012 845
19 16 1319 385
29 16 1442 123
13 10 629 410
22 22 626 1048
20 13 848 198
22 10 1233 546
16 28 1863 653
7 20 1241 674
13 6 1475 889
9 16 814 281
29 20 1972 641
16 3 477 194
16 22 491 581
29 16 584 203
22 22 318 898
19 9 1897 881
20 20 418 893
6 16 647 872
22 9 1805 279
7 26 1257 632
16 3 279 744
