id volume peso recompensa duração(s)
404 19 22 1200 449
403 3 23 697 699
402 16 16 772 229
401 6 19 406 430
400 7 13 1210 414
399 19 26 836 356
398 6 19 1185 822
397 10 23 1205 1088
396 3 3 1563 535
395 6 6 1058 294
394 3 13 751 234
393 6 10 465 900
392 3 13 530 916
391 3 3 699 786
390 26 22 1513 447
389 25 22 471 448
388 23 3 1396 143
387 10 6 1747 577
386 16 3 1518 1053
385 20 13 636 446
384 10 19 709 692
383 28 25 952 377
382 7 16 764 617
381 22 29 1500 828
380 13 6 580 558
379 13 16 1785 297
378 22 3 1565 763
377 28 16 327 1010
376 23 29 1232 389
375 29 19 1268 1095
374 22 22 265 766
373 7 10 1630 963
372 19 26 309 271
371 19 16 1351 615
370 23 7 936 609
369 26 6 774 314
368 28 19 1240 826
367 23 23 1366 481
366 19 22 1440 777
365 25 22 861 590
364 13 23 560 244
363 22 19 470 470
362 13 6 1699 1020
361 13 20 1951 729
360 16 3 227 464
