volume peso recompensa duração(s)
19 3 1814 369
29 20 1704 502
16 29 1883 380
3 13 1210 892
10 7 1801 301
26 13 1295 104
6 6 1445 1014
3 16 1796 762
6 22 562 614
22 25 914 337
20 23 1236 246
22 19 1628 332
3 13 685 443
23 23 1382 991
29 10 483 1038
22 3 1492 283
7 23 907 152
16 10 396 514
3 19 1928 713
16 23 746 416
26 10 574 593
13 6 223 597
23 26 1594 1052
16 13 671 726
13 25 550 100
26 20 1645 318
16 13 1477 513
13 3 455 292
3 20 1434 362
29 29 969 833
28 16 827 999
3 13 1502 270
13 3 203 818
25 28 1521 284
10 13 419 950
16 19 234 1001
25 22 1331 509
20 7 386 964
6 13 1201 715
19 22 1804 622
20 26 1863 104
22 16 1598 841
9 25 1529 1008
13 29 1255 923
22 22 930 324
