volume peso recompensa duração(s)
13 10 606 592
23 7 983 372
22 28 347 1058
16 16 527 1100
23 20 1786 1041
22 9 1509 598
6 10 713 921
20 16 851 446
25 13 609 1070
22 10 1848 196
3 16 1391 846
28 22 1166 491
26 29 610 917
16 29 1730 638
6 6 1921 197
26 22 1165 1100
23 16 1936 498
13 6 490 406
10 29 1194 399
23 23 881 353
19 6 1813 756
6 3 1176 551
13 13 1679 146
28 6 707 517
26 16 1303 358
7 3 1607 273
13 9 1857 1017
19 29 1523 353
10 26 1843 187
6 6 442 900
19 10 1820 348
7 10 801 919
3 22 1768 195
3 16 1105 256
16 3 836 819
22 25 224 467
10 10 553 631
13 16 1894 625
3 16 753 124
29 16 1369 817
20 23 1325 338
13 25 1026 365
19 6 1108 1031
13 13 1710 800
16 16 287 918
