volume peso recompensa duração(s)
3 19 754 984
16 13 1121 641
25 28 1370 535
6 26 1991 318
16 26 1590 728
19 28 946 1021
19 16 1967 865
16 13 367 703
3 19 585 827
13 29 1511 325
23 16 868 608
25 13 1251 384
26 22 1628 925
20 13 1542 128
9 9 1137 1019
6 26 1291 1035
3 23 1410 1028
3 19 1432 1051
22 16 982 229
3 20 1645 316
13 3 621 723
10 3 1886 632
26 16 403 402
3 16 501 692
3 13 1907 307
23 16 1918 1042
25 28 724 816
6 6 564 1017
13 26 396 664
13 22 590 660
29 16 1051 169
16 13 707 359
19 25 854 790
6 3 1347 609
29 20 1991 704
25 19 1889 468
3 13 472 300
7 13 898 325
19 3 762 269
16 19 1193 338
7 23 1303 229
25 16 620 1002
19 19 1437 576
29 20 1160 237
19 19 873 118
