volume peso recompensa duração(s)
6 19 1591 138
3 10 579 103
19 25 1263 748
16 13 1718 114
3 20 1263 905
22 13 293 191
3 19 600 422
7 26 634 751
3 9 1558 1056
26 26 1790 648
26 20 971 308
13 9 820 552
16 10 1508 454
23 26 1520 942
22 13 667 765
26 22 1348 605
3 7 1565 226
25 6 216 182
29 29 763 971
23 20 1536 804
22 19 783 277
16 6 1332 642
7 3 1823 958
28 6 1065 121
16 10 1081 1064
7 20 1880 705
16 28 1821 660
26 6 1627 732
13 10 483 694
25 28 221 802
26 26 496 520
13 20 1925 840
6 28 1820 271
29 29 1019 326
26 26 716 445
25 28 521 989
19 13 1784 152
16 20 816 1079
25 28 1909 396
10 10 588 654
26 29 1233 434
19 6 1204 453
13 3 466 937
7 20 412 756
19 9 1059 580
