id volMax pesoMax custo
841 281 287 14581
840 376 262 16090
839 394 351 15473
838 255 275 13025
837 278 386 16833
836 259 310 16154
835 287 304 15787
834 262 384 15363
833 335 381 15531
832 355 322 13718
831 253 386 13481
830 370 366 13618
829 360 331 15444
828 368 308 16575
827 378 272 15057
826 395 315 16790
825 277 399 14862
824 253 386 13481
823 370 366 13618
822 360 331 15444
821 368 308 16575
820 355 322 13718
819 309 377 15136
818 296 271 13742
817 287 342 15977
816 292 316 16581
815 285 258 13044
814 365 301 13406
813 368 308 16575
812 259 354 13356
811 292 289 14548
810 256 289 14860
809 328 398 13956
808 259 310 16154
807 265 274 14952
806 336 345 14342
805 370 366 13618
804 287 342 15977
803 382 304 14967
802 355 322 13718
801 262 389 15106
800 253 386 13481
799 262 389 15106
798 335 383 16287
797 310 387 14105
796 370 366 13618
795 308 371 13865
794 253 386 13481
793 325 316 13378
792 262 384 15363
