id volume peso recompensa duração(s)
11474 28 6 1065 121
11473 3 22 940 937
11472 26 26 1170 838
11471 10 3 1886 632
11470 28 19 828 888
11469 19 22 1804 622
11468 29 13 1014 130
11467 22 29 1448 487
11466 22 28 347 1058
11465 3 20 1434 362
11464 6 6 1058 294
11463 13 22 590 660
11462 3 16 220 351
11461 3 13 1313 1080
11460 23 13 206 128
11459 10 10 1285 483
11458 6 19 406 430
11457 3 16 753 124
11456 19 9 1897 881
11455 28 6 1208 309
11454 6 16 618 1039
11453 19 22 1897 986
11452 13 9 1857 1017
11451 7 20 1241 674
11450 25 13 609 1070
11449 10 22 1694 969
11448 22 10 1848 196
11447 22 16 982 229
11446 29 19 1268 1095
11445 16 26 1789 1077
11444 23 20 1536 804
11443 7 10 801 919
11442 6 19 1185 822
11441 16 26 1590 728
11440 20 23 1551 986
11439 10 3 547 766
11438 6 26 1291 1035
11437 3 13 1502 270
11436 25 19 1889 468
11435 3 13 472 300
11434 22 16 1819 768
11433 7 29 743 826
11432 22 13 293 191
11431 23 20 1536 804
11430 10 3 547 766
11429 10 26 1229 237
11428 22 16 1598 841
11427 29 20 1704 502
11426 16 3 227 464
11425 6 19 486 789
11424 20 23 1325 338
11423 10 22 1694 969
11422 22 13 1897 272
11421 6 26 1143 180
11420 16 29 1883 380
11419 22 3 1492 283
11418 22 16 982 229
11417 6 6 1058 294
11416 6 3 1176 551
11415 19 13 1688 640
11414 16 22 1579 619
11413 16 6 1188 697
11412 13 13 1008 398
11411 3 16 1456 192
11410 6 16 647 872
11409 16 16 1633 195
11408 13 10 1614 331
11407 16 16 706 408
11406 13 13 1008 398
11405 26 7 618 442
11404 22 16 644 313
11403 26 22 1348 605
11402 25 22 861 590
11401 3 9 1558 1056
11400 22 28 1717 549
11399 28 22 1166 491
11398 19 22 1200 449
11397 26 6 1627 732
11396 19 19 1990 106
11395 3 13 751 234
11394 26 22 1513 447
11393 13 16 1785 297
11392 9 9 427 447
11391 20 16 851 446
11390 23 3 1396 143
11389 23 29 957 387
11388 25 6 653 107
11387 16 28 935 528
11386 19 28 486 840
11385 3 22 1662 201
11384 3 10 1475 786
11383 6 19 406 430
11382 25 16 620 1002
11381 26 16 1303 358
11380 20 23 204 293
11379 16 13 654 720
11378 16 10 396 514
11377 13 3 795 302
11376 25 6 647 415
11375 28 25 952 377
11374 7 7 1524 189
11373 19 13 1875 107
11372 16 29 1730 638
11371 16 19 1193 338
11370 10 29 676 526
11369 6 29 1800 116
11368 23 16 1918 1042
11367 6 10 713 921
11366 20 7 894 300
11365 3 3 1563 535
11364 26 26 716 445
11363 3 13 1889 538
11362 3 19 901 980
11361 28 19 828 888
11360 16 29 1730 638
11359 16 16 878 697
11358 26 29 610 917
11357 29 26 719 600
11356 3 3 355 869
11355 13 26 1253 542
11354 29 19 1268 1095
11353 23 20 1536 804
11352 25 6 216 182
11351 6 10 465 900
11350 3 13 685 443
11349 3 23 1410 1028
11348 19 28 486 840
11347 16 13 1718 114
11346 3 13 1907 307
11345 6 6 779 122
11344 19 3 1547 279
11343 20 13 636 446
11342 10 6 1747 577
11341 3 22 940 937
11340 20 23 1325 338
11339 3 16 1796 762
11338 26 6 774 314
11337 19 22 1200 449
11336 13 13 1714 399
11335 7 3 1823 958
11334 7 10 801 919
11333 25 28 724 816
11332 19 10 1820 348
11331 6 13 1201 715
11330 3 10 1475 786
11329 3 20 1645 316
11328 6 16 647 872
11327 7 20 412 756
11326 10 19 1278 267
11325 29 19 1268 1095
11324 9 25 1529 1008
11323 6 19 1185 822
11322 3 13 1313 1080
11321 29 13 1014 130
11320 19 10 1820 348
11319 25 22 1331 509
11318 26 22 1348 605
11317 6 6 631 145
11316 16 10 396 514
11315 16 29 1083 521
11314 26 6 774 314
11313 28 6 1065 121
11312 22 13 667 765
11311 28 16 827 999
11310 20 20 418 893
11309 22 6 683 553
11308 7 29 743 826
11307 25 22 861 590
11306 20 13 848 198
11305 25 28 521 989
11304 23 16 868 608
11303 16 6 1907 397
11302 7 26 1257 632
11301 25 28 724 816
11300 29 16 1442 123
11299 6 28 1820 271
11298 26 19 244 1055
11297 16 29 1694 404
11296 9 22 909 192
11295 23 26 1520 942
11294 19 6 1204 453
11293 22 29 1448 487
11292 6 19 996 631
11291 16 13 707 359
11290 23 26 1913 600
11289 26 26 1790 648
11288 3 13 633 583
11287 13 3 795 302
11286 16 13 654 720
11285 20 10 1663 207
11284 22 25 1227 810
11283 26 22 1513 447
11282 26 26 716 445
11281 19 25 844 478
11280 6 6 1058 294
11279 20 23 1236 246
11278 19 13 884 455
11277 26 22 1513 447
11276 3 16 501 692
11275 29 23 1148 789
11274 10 13 1315 328
11273 22 16 1175 863
11272 16 10 1309 888
11271 19 6 217 732
11270 3 9 1558 1056
11269 13 13 1714 399
11268 13 3 795 302
11267 6 6 1058 294
11266 7 7 828 643
11265 22 10 1848 196
11264 26 26 1790 648
11263 13 26 1073 1066
11262 19 13 1537 614
11261 3 13 1907 307
11260 13 3 699 1056
11259 20 7 894 300
11258 25 28 1521 284
11257 3 23 1410 1028
11256 19 6 324 237
11255 26 29 267 777
11254 16 26 1789 1077
11253 25 13 609 1070
11252 3 19 1432 1051
11251 19 9 1059 580
11250 6 6 1921 197
