Truck_id: 16
Total Reward: 35580€
=================================
  OrderId			Reward
=================================
    15			    1137€
    20			    1645€
    46			    1591€
    49			    1718€
    58			    1508€
    67			    1332€
   128			    1285€
   138			    1662€
   147			    1904€
   150			    1714€
   187			    1201€
   210			    1492€
   234			    1442€
   252			    1838€
   268			     779€
   273			    1805€
   276			    1897€
   311			     828€
   324			    1547€
   358			    1875€
   362			    1951€
   379			    1565€
   380			    1785€
   401			    1210€
   415			    1848€
   416			    1391€
   428			    1679€
   436			    1820€
   438			    1768€
   443			    1894€
   449			    1710€
=================================
N_Orders: 31	T_Reward: 48821€
