id volMax pesoMax custo
591 262 389 15106
590 265 274 14952
589 309 377 15136
588 394 379 13241
587 398 378 15048
586 265 274 14952
585 309 377 15136
584 328 398 13956
583 255 275 13025
582 328 398 13956
581 310 387 14105
580 335 265 15168
579 310 387 14105
578 259 310 16154
577 259 354 13356
576 287 304 15787
575 328 398 13956
574 309 377 15136
573 325 316 13378
572 365 301 13406
571 365 301 13406
570 335 265 15168
569 262 384 15363
568 398 378 15048
567 395 315 16790
566 287 342 15977
565 360 331 15444
564 336 345 14342
563 391 395 13796
562 395 315 16790
561 376 262 16090
560 395 315 16790
559 308 371 13865
558 397 321 13931
557 388 268 14521
556 388 268 14521
555 325 316 13378
554 258 289 14932
553 281 287 14581
552 328 398 13956
551 355 322 13718
550 262 384 15363
549 385 254 14819
548 308 371 13865
547 277 399 14862
546 376 262 16090
545 382 304 14967
544 308 371 13865
543 335 265 15168
542 308 371 13865
541 376 262 16090
540 370 366 13618
539 285 258 13044
538 259 310 16154
537 360 331 15444
536 278 386 16833
535 287 342 15977
534 365 259 16982
533 365 259 16982
532 281 287 14581
531 395 315 16790
530 385 254 14819
529 296 271 13742
528 382 304 14967
527 335 265 15168
526 259 310 16154
525 292 316 16581
524 328 398 13956
523 355 322 13718
522 262 389 15106
521 391 395 13796
520 285 258 13044
519 253 386 13481
518 258 289 14932
517 288 346 13476
516 385 254 14819
515 262 389 15106
514 394 379 13241
513 259 354 13356
512 285 258 13044
511 259 354 13356
510 355 322 13718
509 277 399 14862
508 287 342 15977
507 378 272 15057
506 391 395 13796
505 255 275 13025
504 344 306 14015
503 265 274 14952
502 393 377 16543
501 365 259 16982
500 335 383 16287
499 343 277 15226
498 366 375 15556
497 344 306 14015
496 343 277 15226
495 259 310 16154
494 278 386 16833
493 288 346 13476
492 393 377 16543
