id volMax pesoMax custo
391 382 304 14967
390 376 262 16090
389 397 321 13931
388 296 271 13742
387 310 387 14105
386 382 304 14967
385 343 277 15226
384 308 371 13865
383 344 306 14015
382 262 384 15363
381 277 399 14862
380 388 268 14521
379 292 289 14548
378 325 316 13378
377 385 254 14819
376 292 316 16581
375 265 274 14952
374 292 316 16581
373 310 387 14105
372 278 386 16833
371 343 277 15226
370 310 387 14105
369 256 289 14860
368 335 381 15531
367 256 289 14860
366 292 289 14548
365 343 277 15226
364 398 378 15048
363 262 389 15106
362 335 381 15531
361 258 289 14932
360 355 322 13718
359 398 378 15048
358 365 301 13406
357 382 304 14967
356 360 331 15444
355 259 310 16154
354 285 258 13044
353 393 377 16543
352 277 399 14862
351 366 375 15556
350 278 386 16833
349 397 321 13931
348 328 398 13956
347 285 258 13044
346 259 354 13356
345 259 354 13356
344 255 275 13025
343 265 274 14952
342 360 331 15444
341 309 377 15136
340 394 379 13241
339 393 377 16543
338 292 316 16581
337 394 351 15473
336 262 384 15363
335 394 379 13241
334 385 254 14819
333 259 310 16154
332 398 378 15048
331 287 304 15787
330 394 351 15473
329 391 395 13796
328 368 308 16575
327 370 366 13618
326 388 268 14521
325 287 304 15787
324 308 371 13865
323 397 321 13931
322 288 346 13476
321 259 354 13356
320 262 384 15363
319 365 301 13406
318 391 395 13796
317 395 315 16790
316 262 389 15106
315 256 289 14860
314 388 268 14521
313 335 383 16287
312 391 395 13796
311 253 386 13481
310 292 289 14548
309 397 321 13931
308 287 342 15977
307 366 375 15556
306 292 316 16581
305 325 316 13378
304 309 377 15136
303 398 378 15048
302 360 331 15444
301 336 345 14342
300 285 258 13044
299 385 254 14819
298 360 331 15444
297 376 262 16090
296 388 268 14521
295 256 289 14860
294 285 258 13044
293 378 272 15057
292 256 289 14860
