id volMax pesoMax custo
791 292 289 14548
790 370 366 13618
789 288 346 13476
788 366 375 15556
787 336 345 14342
786 335 381 15531
785 308 371 13865
784 262 389 15106
783 365 259 16982
782 259 354 13356
781 382 304 14967
780 394 379 13241
779 391 395 13796
778 394 379 13241
777 292 289 14548
776 268 346 14777
775 366 375 15556
774 376 262 16090
773 288 346 13476
772 335 265 15168
771 382 304 14967
770 365 301 13406
769 328 398 13956
768 393 377 16543
767 328 398 13956
766 335 383 16287
765 335 265 15168
764 344 306 14015
763 258 289 14932
762 394 379 13241
761 292 316 16581
760 268 346 14777
759 259 354 13356
758 336 345 14342
757 393 377 16543
756 335 381 15531
755 335 383 16287
754 394 351 15473
753 335 383 16287
752 343 277 15226
751 292 316 16581
750 255 275 13025
749 308 371 13865
748 343 277 15226
747 256 289 14860
746 287 304 15787
745 391 395 13796
744 376 262 16090
743 287 304 15787
742 310 387 14105
741 253 386 13481
740 287 342 15977
739 382 304 14967
738 262 389 15106
737 360 331 15444
736 336 345 14342
735 308 371 13865
734 378 272 15057
733 262 384 15363
732 281 287 14581
731 262 389 15106
730 325 316 13378
729 336 345 14342
728 292 289 14548
727 376 262 16090
726 309 377 15136
725 398 378 15048
724 398 378 15048
723 265 274 14952
722 336 345 14342
721 394 379 13241
720 366 375 15556
719 325 316 13378
718 253 386 13481
717 394 379 13241
716 360 331 15444
715 292 316 16581
714 368 308 16575
713 288 346 13476
712 335 381 15531
711 376 262 16090
710 296 271 13742
709 365 259 16982
708 277 399 14862
707 378 272 15057
706 296 271 13742
705 309 377 15136
704 394 351 15473
703 335 381 15531
702 258 289 14932
701 265 274 14952
700 253 386 13481
699 391 395 13796
698 335 265 15168
697 385 254 14819
696 343 277 15226
695 335 383 16287
694 344 306 14015
693 398 378 15048
692 292 289 14548
