id volMax pesoMax custo
91 281 287 14581
90 288 346 13476
89 262 384 15363
88 310 387 14105
87 355 322 13718
86 388 268 14521
85 262 384 15363
84 277 399 14862
83 378 272 15057
82 328 398 13956
81 325 316 13378
80 336 345 14342
79 268 346 14777
78 366 375 15556
77 368 308 16575
76 259 310 16154
75 335 381 15531
74 335 383 16287
73 376 262 16090
72 365 259 16982
71 370 366 13618
70 285 258 13044
69 385 254 14819
68 287 342 15977
67 388 268 14521
66 336 345 14342
65 292 289 14548
64 296 271 13742
63 281 287 14581
62 398 378 15048
61 310 387 14105
60 296 271 13742
59 287 304 15787
58 365 259 16982
57 397 321 13931
56 395 315 16790
55 366 375 15556
54 398 378 15048
53 388 268 14521
52 382 304 14967
51 388 268 14521
50 277 399 14862
49 309 377 15136
48 335 265 15168
47 395 315 16790
46 308 371 13865
45 259 310 16154
44 365 259 16982
43 335 265 15168
42 394 351 15473
41 281 287 14581
40 376 262 16090
39 394 351 15473
38 255 275 13025
37 278 386 16833
36 259 310 16154
35 287 304 15787
34 262 384 15363
33 335 381 15531
32 355 322 13718
31 253 386 13481
30 370 366 13618
29 360 331 15444
28 368 308 16575
27 378 272 15057
26 395 315 16790
25 277 399 14862
24 253 386 13481
23 370 366 13618
22 360 331 15444
21 368 308 16575
20 355 322 13718
19 309 377 15136
18 296 271 13742
17 287 342 15977
16 292 316 16581
15 285 258 13044
14 365 301 13406
13 368 308 16575
12 259 354 13356
11 292 289 14548
10 256 289 14860
9 328 398 13956
8 259 310 16154
7 265 274 14952
6 336 345 14342
5 370 366 13618
4 287 342 15977
3 382 304 14967
2 355 322 13718
1 262 389 15106
0 253 386 13481
