id volMax pesoMax custo
105 394 379 13241
1385 309 377 15136
661 258 289 14932
1235 394 351 15473
43 335 265 15168
170 268 346 14777
26 395 315 16790
821 368 308 16575
330 394 351 15473
453 292 289 14548
1371 365 301 13406
1063 325 316 13378
1058 292 289 14548
1028 366 375 15556
397 370 366 13618
1021 335 383 16287
1318 258 289 14932
742 310 387 14105
143 394 379 13241
882 328 398 13956
93 368 308 16575
929 394 351 15473
23 370 366 13618
189 397 321 13931
851 388 268 14521
1272 258 289 14932
212 292 316 16581
1214 258 289 14932
801 262 389 15106
540 370 366 13618
893 368 308 16575
338 292 316 16581
467 366 375 15556
252 325 316 13378
775 366 375 15556
1282 344 306 14015
205 256 289 14860
353 393 377 16543
1019 268 346 14777
81 325 316 13378
401 265 274 14952
484 296 271 13742
1143 265 274 14952
1029 287 304 15787
