id volMax pesoMax custo
96 281 287 14581
1258 278 386 16833
1375 328 398 13956
289 376 262 16090
908 394 351 15473
369 256 289 14860
748 343 277 15226
560 395 315 16790
1238 259 310 16154
142 277 399 14862
989 397 321 13931
183 335 381 15531
346 259 354 13356
1154 285 258 13044
552 328 398 13956
261 335 265 15168
752 343 277 15226
275 262 384 15363
1366 287 342 15977
366 292 289 14548
771 382 304 14967
1268 388 268 14521
622 296 271 13742
662 296 271 13742
127 385 254 14819
1335 287 342 15977
336 262 384 15363
495 259 310 16154
1354 258 289 14932
1025 259 310 16154
766 335 383 16287
677 365 301 13406
793 325 316 13378
1059 391 395 13796
676 277 399 14862
192 378 272 15057
1096 388 268 14521
99 310 387 14105
1150 278 386 16833
1169 256 289 14860
