id volume peso recompensa duração(s)
1506 3 13 1907 307
12940 16 20 816 1079
7710 19 26 309 271
10093 19 22 1719 159
11139 22 13 1897 272
8550 16 10 1081 1064
2252 20 16 823 524
8256 19 6 1108 1031
4725 26 19 244 1055
8360 6 16 618 1039
6727 26 6 1156 1073
439 13 25 1467 1058
1335 3 3 715 977
1877 25 6 647 415
4194 26 22 1513 447
5703 16 26 1789 1077
10990 29 16 1369 817
2985 22 16 1819 768
8833 16 29 1593 882
10952 13 25 550 100
3199 28 6 1636 436
11015 3 3 1563 535
12910 22 13 667 765
14325 29 26 719 600
14174 3 16 1456 192
11036 25 25 371 509
5710 22 13 667 765
10108 19 6 324 237
13349 19 13 1784 152
422 13 16 1785 297
8580 10 3 547 766
7747 19 16 1319 385
9046 22 3 480 1037
2122 16 10 1081 1064
192 3 13 685 443
2464 28 16 327 1010
964 10 7 1801 301
3522 6 22 562 614
4885 22 13 709 953
5536 23 26 1594 1052
3639 19 6 324 237
1399 6 3 615 970
9454 3 22 940 937
6497 22 19 783 277
1105 7 23 907 152
394 6 19 406 430
8715 26 16 403 402
581 10 13 347 187
13307 16 10 396 514
9529 19 19 1437 576
1642 19 28 486 840
3818 13 16 1894 625
8011 23 23 1366 481
8768 7 20 1577 1043
8422 10 10 1856 576
13100 29 23 1148 789
6015 29 29 1019 326
2568 25 22 471 448
13722 10 19 1278 267
11264 26 26 1790 648
8988 10 10 1285 483
2663 23 23 1366 481
4975 13 20 1951 729
7568 6 19 996 631
424 3 3 1563 535
5254 25 19 1889 468
10313 10 3 1886 632
12429 29 13 1014 130
369 3 16 1456 192
10790 13 9 820 552
10687 20 10 1569 720
12381 13 9 820 552
3652 13 10 629 410
5818 13 26 1639 927
3156 16 19 1873 697
9499 22 16 644 313
4365 28 9 1185 918
1880 10 10 588 654
7908 23 20 437 996
2739 22 16 1819 768
7514 19 6 217 732
6328 9 16 814 281
6424 28 9 1185 918
11751 19 25 854 790
10467 26 20 1645 318
2328 22 10 1079 154
4164 26 26 716 445
10742 7 20 1880 705
274 10 29 1488 1094
157 23 16 1918 1042
6048 16 19 1193 338
3814 9 19 1281 241
3270 22 28 1002 795
7859 10 6 542 430
8488 13 25 1467 1058
1838 6 22 562 614
1551 3 19 1432 1051
8270 19 13 884 455
