id volMax pesoMax custo
976 366 375 15556
1319 253 386 13481
1159 398 378 15048
1232 310 387 14105
1353 281 287 14581
151 262 384 15363
1036 256 289 14860
191 365 301 13406
25 277 399 14862
595 309 377 15136
374 292 316 16581
438 259 310 16154
1026 259 310 16154
1183 344 306 14015
1052 325 316 13378
1086 376 262 16090
1083 378 272 15057
1074 259 310 16154
927 385 254 14819
1199 394 379 13241
709 365 259 16982
241 397 321 13931
213 287 342 15977
36 259 310 16154
1191 382 304 14967
1315 262 389 15106
714 368 308 16575
90 288 346 13476
861 310 387 14105
196 376 262 16090
