id volMax pesoMax custo
1037 285 258 13044
97 287 304 15787
633 368 308 16575
654 344 306 14015
916 259 354 13356
1106 292 316 16581
1309 277 399 14862
277 393 377 16543
146 385 254 14819
840 376 262 16090
1129 391 395 13796
1125 287 304 15787
341 309 377 15136
450 336 345 14342
1078 365 259 16982
1264 368 308 16575
613 296 271 13742
791 292 289 14548
1290 388 268 14521
620 255 275 13025
735 308 371 13865
1161 258 289 14932
436 268 346 14777
240 281 287 14581
1123 397 321 13931
744 376 262 16090
1118 391 395 13796
1378 259 310 16154
344 255 275 13025
583 255 275 13025
203 328 398 13956
1292 393 377 16543
1180 388 268 14521
82 328 398 13956
1299 343 277 15226
367 256 289 14860
331 287 304 15787
315 256 289 14860
768 393 377 16543
751 292 316 16581
