id volMax pesoMax custo
869 385 254 14819
944 335 383 16287
784 262 389 15106
923 259 354 13356
1151 366 375 15556
544 308 371 13865
1093 378 272 15057
1132 398 378 15048
1326 259 310 16154
1082 382 304 14967
650 325 316 13378
1369 262 384 15363
526 259 310 16154
186 288 346 13476
1068 397 321 13931
591 262 389 15106
131 382 304 14967
291 335 265 15168
1130 394 351 15473
858 365 259 16982
1333 365 259 16982
1157 382 304 14967
799 262 389 15106
339 393 377 16543
961 385 254 14819
812 259 354 13356
1153 393 377 16543
833 335 381 15531
1200 365 259 16982
128 256 289 14860
1176 292 316 16581
168 398 378 15048
227 397 321 13931
459 360 331 15444
1310 355 322 13718
509 277 399 14862
269 378 272 15057
152 287 304 15787
