id volMax pesoMax custo
386 382 304 14967
655 278 386 16833
747 256 289 14860
91 281 287 14581
0 253 386 13481
394 281 287 14581
1062 253 386 13481
520 285 258 13044
528 382 304 14967
1003 328 398 13956
1049 360 331 15444
1329 296 271 13742
1213 393 377 16543
1177 385 254 14819
864 296 271 13742
126 365 301 13406
626 265 274 14952
782 259 354 13356
405 281 287 14581
675 262 389 15106
1103 398 378 15048
362 335 381 15531
468 388 268 14521
255 344 306 14015
708 277 399 14862
577 259 354 13356
993 370 366 13618
22 360 331 15444
866 336 345 14342
1227 385 254 14819
1012 292 316 16581
1212 335 265 15168
214 281 287 14581
1356 388 268 14521
688 268 346 14777
333 259 310 16154
225 259 310 16154
