id volume peso recompensa duração(s)
4638 23 29 1789 900
7487 20 23 1551 986
6903 3 19 585 827
3773 29 10 483 1038
13508 25 13 1251 384
3870 16 28 1863 653
1666 25 28 1521 284
9417 10 29 1194 399
14379 6 16 1023 132
7681 20 16 1200 991
7256 10 13 347 187
9535 22 25 914 337
12169 16 3 477 194
11501 3 3 699 786
9060 10 19 709 692
10562 13 10 738 190
6006 13 3 455 292
223 29 29 1019 326
9306 6 22 794 783
4632 16 6 1907 397
12045 16 19 1873 697
7044 16 3 836 819
1002 19 6 1108 1031
4390 19 13 1904 276
4187 16 28 935 528
3094 23 13 206 128
3472 26 16 1303 358
13129 3 10 984 463
4607 23 23 881 353
6898 10 13 419 950
7697 6 6 564 1017
12471 25 19 1753 524
11122 29 16 1369 817
6357 25 28 221 802
270 3 16 220 351
5170 3 13 1306 202
6009 28 6 1065 121
598 22 16 1819 768
117 29 29 969 833
2864 22 16 644 313
8631 16 13 654 720
13911 6 3 453 537
2278 19 10 1820 348
4787 16 3 279 744
9682 6 3 453 537
451 3 16 501 692
7193 7 26 1166 552
7557 26 19 1397 1043
4037 7 29 598 161
8179 13 6 1987 926
5837 22 28 1717 549
8966 13 6 1699 1020
13967 25 28 221 802
5447 28 19 828 888
12855 20 23 1236 246
6111 7 10 1672 419
9371 19 13 1040 651
1869 3 13 1907 307
8509 29 20 1972 641
11168 7 23 1303 229
721 20 20 418 893
4648 10 6 1765 970
5841 6 19 486 789
7267 25 22 1331 509
12800 16 29 1730 638
11160 23 29 1789 900
6660 3 19 585 827
9517 3 13 1313 1080
12088 19 22 1804 622
10481 22 13 293 191
4270 28 19 828 888
8767 10 19 1278 267
5740 16 20 816 1079
5040 29 10 1657 287
13319 20 16 1200 991
12406 7 3 1823 958
12691 19 3 1982 619
3293 29 16 584 203
11495 9 16 814 281
4469 3 13 1306 202
459 29 16 1051 169
11689 6 6 564 1017
8975 29 26 1522 215
743 6 19 1243 977
12197 23 16 1918 1042
842 16 22 491 581
11315 16 29 1083 521
9898 13 29 719 531
1984 6 3 615 970
2501 16 6 755 874
2237 13 3 795 302
6087 7 3 1607 273
12519 10 26 1229 237
6134 29 16 1442 123
12290 20 13 848 198
13871 13 10 1614 331
3475 19 28 946 1021
4297 29 29 763 971
9191 10 29 1488 1094
5352 16 26 1590 728
12700 29 29 1019 326
11352 25 6 216 182
3702 25 6 653 107
9717 20 7 386 964
5726 29 10 1463 145
7978 3 16 1105 256
6749 7 20 1577 1043
11267 6 6 1058 294
9730 16 13 367 703
2171 19 13 1040 651
4538 16 13 367 703
9522 7 16 764 617
5907 16 13 1121 641
1206 29 20 1991 704
8321 9 13 1442 168
5325 13 26 396 664
1874 22 16 644 313
6645 7 3 1823 958
6433 13 9 820 552
2633 7 23 1303 229
9165 6 29 1859 261
11958 13 10 606 592
12728 29 16 1369 817
8983 25 28 1909 396
9685 22 3 480 1037
9405 22 3 1565 763
3900 10 6 1747 577
10817 29 10 1657 287
11 22 25 914 337
13097 16 29 1083 521
367 20 23 204 293
518 22 3 338 357
3018 19 3 638 618
3466 23 26 1913 600
