id volMax pesoMax custo
680 296 271 13742
776 268 346 14777
94 393 377 16543
359 398 378 15048
1085 308 371 13865
53 388 268 14521
46 308 371 13865
770 365 301 13406
500 335 383 16287
787 336 345 14342
321 259 354 13356
651 335 381 15531
877 368 308 16575
1225 378 272 15057
689 370 366 13618
734 378 272 15057
1061 335 265 15168
949 365 301 13406
9 328 398 13956
666 394 351 15473
409 288 346 13476
1205 281 287 14581
1079 360 331 15444
1352 328 398 13956
772 335 265 15168
150 259 354 13356
1198 397 321 13931
1237 281 287 14581
309 397 321 13931
636 255 275 13025
830 370 366 13618
1231 255 275 13025
250 343 277 15226
1084 262 389 15106
1024 365 259 16982
1218 328 398 13956
1015 336 345 14342
1149 397 321 13931
939 278 386 16833
653 391 395 13796
388 296 271 13742
257 262 389 15106
1005 256 289 14860
963 398 378 15048
1131 287 304 15787
1298 366 375 15556
972 262 384 15363
399 394 379 13241
