id volMax pesoMax custo
971 388 268 14521
822 360 331 15444
849 309 377 15136
1263 262 384 15363
130 309 377 15136
968 398 378 15048
860 296 271 13742
1020 253 386 13481
507 378 272 15057
686 262 389 15106
806 336 345 14342
32 355 322 13718
1275 335 383 16287
589 309 377 15136
1306 391 395 13796
903 395 315 16790
135 258 289 14932
63 281 287 14581
1065 391 395 13796
462 378 272 15057
20 355 322 13718
101 395 315 16790
974 395 315 16790
235 278 386 16833
1297 344 306 14015
1234 278 386 16833
158 308 371 13865
856 395 315 16790
588 394 379 13241
377 385 254 14819
176 366 375 15556
1273 253 386 13481
1148 328 398 13956
1347 277 399 14862
933 391 395 13796
774 376 262 16090
962 287 342 15977
248 259 310 16154
