id volMax pesoMax custo
1342 308 371 13865
272 391 395 13796
1007 278 386 16833
894 393 377 16543
271 394 351 15473
777 292 289 14548
234 328 398 13956
646 292 316 16581
246 385 254 14819
160 258 289 14932
420 308 371 13865
579 310 387 14105
354 285 258 13044
600 296 271 13742
45 259 310 16154
73 376 262 16090
457 287 304 15787
904 368 308 16575
1184 308 371 13865
826 395 315 16790
1179 292 289 14548
266 288 346 13476
602 394 379 13241
211 292 289 14548
512 285 258 13044
1033 355 322 13718
1373 325 316 13378
586 265 274 14952
12 259 354 13356
834 262 384 15363
103 395 315 16790
215 336 345 14342
575 328 398 13956
630 256 289 14860
478 343 277 15226
761 292 316 16581
792 262 384 15363
1387 398 378 15048
874 335 383 16287
1138 292 316 16581
706 296 271 13742
