Truck_id: 50
Total Reward: 504473€
=================================
  OrderId			Reward
=================================
   278			     584€
    31			    1051€
   445			    1369€
   223			    1883€
   373			     309€
   130			    1739€
   170			    1593€
   163			     244€
   290			    1442€
   425			     881€
   185			    1863€
   368			    1366€
   200			    1645€
   212			    1382€
   278			     584€
    31			    1051€
   445			    1369€
   223			    1883€
   373			     309€
   130			    1739€
   170			    1593€
   163			     244€
   290			    1442€
   425			     881€
   185			    1863€
   278			     584€
    31			    1051€
   445			    1369€
   223			    1883€
   373			     309€
   130			    1739€
   170			    1593€
   163			     244€
   290			    1442€
   425			     881€
   185			    1863€
   368			    1366€
   278			     584€
    31			    1051€
   445			    1369€
   223			    1883€
   373			     309€
   130			    1739€
   170			    1593€
   163			     244€
   290			    1442€
   425			     881€
   185			    1863€
   368			    1366€
   200			    1645€
   278			     584€
    31			    1051€
   445			    1369€
   223			    1883€
   373			     309€
   130			    1739€
   170			    1593€
   163			     244€
   290			    1442€
   425			     881€
   185			    1863€
   278			     584€
    31			    1051€
   445			    1369€
   223			    1883€
   373			     309€
   130			    1739€
   170			    1593€
   163			     244€
   290			    1442€
   425			     881€
   185			    1863€
   368			    1366€
   278			     584€
    31			    1051€
   445			    1369€
   223			    1883€
   373			     309€
   130			    1739€
   170			    1593€
   163			     244€
   290			    1442€
   425			     881€
   185			    1863€
   368			    1366€
   200			    1645€
   278			     584€
    31			    1051€
   445			    1369€
   223			    1883€
   373			     309€
   130			    1739€
   170			    1593€
   163			     244€
   290			    1442€
   425			     881€
   185			    1863€
   278			     584€
    31			    1051€
   445			    1369€
   223			    1883€
   373			     309€
   130			    1739€
   170			    1593€
   163			     244€
   290			    1442€
   425			     881€
   185			    1863€
   278			     584€
    31			    1051€
   445			    1369€
   223			    1883€
   373			     309€
   130			    1739€
   170			    1593€
   163			     244€
   290			    1442€
   425			     881€
   185			    1863€
   368			    1366€
   278			     584€
    31			    1051€
   445			    1369€
   223			    1883€
   373			     309€
   130			    1739€
   170			    1593€
   163			     244€
   290			    1442€
   425			     881€
   185			    1863€
   278			     584€
    31			    1051€
   445			    1369€
   223			    1883€
   373			     309€
   130			    1739€
   170			    1593€
   163			     244€
   290			    1442€
   425			     881€
   185			    1863€
   368			    1366€
   200			    1645€
   278			     584€
    31			    1051€
   445			    1369€
   223			    1883€
   373			     309€
   130			    1739€
   170			    1593€
   163			     244€
   290			    1442€
   425			     881€
   185			    1863€
   368			    1366€
   278			     584€
    31			    1051€
   445			    1369€
   223			    1883€
   373			     309€
   130			    1739€
   170			    1593€
   163			     244€
   290			    1442€
   425			     881€
   185			    1863€
   278			     584€
    31			    1051€
   445			    1369€
   223			    1883€
   373			     309€
   130			    1739€
   170			    1593€
   163			     244€
   290			    1442€
   425			     881€
   185			    1863€
   278			     584€
    31			    1051€
   445			    1369€
   223			    1883€
   373			     309€
   130			    1739€
   170			    1593€
   163			     244€
   290			    1442€
   425			     881€
   185			    1863€
   368			    1366€
   278			     584€
    31			    1051€
   445			    1369€
   223			    1883€
   373			     309€
   130			    1739€
   170			    1593€
   163			     244€
   290			    1442€
   425			     881€
   185			    1863€
   368			    1366€
   278			     584€
    31			    1051€
   445			    1369€
   223			    1883€
   373			     309€
   130			    1739€
   170			    1593€
   163			     244€
   290			    1442€
   425			     881€
   185			    1863€
   368			    1366€
   200			    1645€
    56			     971€
   278			     584€
    31			    1051€
   445			    1369€
   223			    1883€
   373			     309€
   130			    1739€
   170			    1593€
   163			     244€
   290			    1442€
   425			     881€
   185			    1863€
   368			    1366€
   200			    1645€
    56			     971€
   278			     584€
    31			    1051€
   445			    1369€
   223			    1883€
   373			     309€
   130			    1739€
   170			    1593€
   163			     244€
   290			    1442€
   425			     881€
   185			    1863€
   278			     584€
    31			    1051€
   445			    1369€
   223			    1883€
   373			     309€
   130			    1739€
   170			    1593€
   163			     244€
   290			    1442€
   425			     881€
   185			    1863€
   368			    1366€
   278			     584€
    31			    1051€
   445			    1369€
   223			    1883€
   373			     309€
   130			    1739€
   170			    1593€
   163			     244€
   290			    1442€
   425			     881€
   185			    1863€
   200			    1645€
   278			     584€
    31			    1051€
   445			    1369€
   223			    1883€
   373			     309€
   130			    1739€
   170			    1593€
   163			     244€
   290			    1442€
   425			     881€
   185			    1863€
   278			     584€
    31			    1051€
   445			    1369€
   223			    1883€
   373			     309€
   130			    1739€
   170			    1593€
   163			     244€
   290			    1442€
   425			     881€
   185			    1863€
   368			    1366€
   278			     584€
    31			    1051€
   445			    1369€
   223			    1883€
   373			     309€
   130			    1739€
   170			    1593€
   163			     244€
   290			    1442€
   425			     881€
   185			    1863€
   368			    1366€
   200			    1645€
   278			     584€
    31			    1051€
   445			    1369€
   223			    1883€
   373			     309€
   130			    1739€
   170			    1593€
   163			     244€
   290			    1442€
   425			     881€
   185			    1863€
   278			     584€
    31			    1051€
   445			    1369€
   223			    1883€
   373			     309€
   130			    1739€
   170			    1593€
   163			     244€
   290			    1442€
   425			     881€
   185			    1863€
   278			     584€
    31			    1051€
   445			    1369€
   223			    1883€
   373			     309€
   130			    1739€
   170			    1593€
   163			     244€
   290			    1442€
   425			     881€
   185			    1863€
   278			     584€
    31			    1051€
   445			    1369€
   223			    1883€
   373			     309€
   130			    1739€
   170			    1593€
   163			     244€
   290			    1442€
   425			     881€
   185			    1863€
   368			    1366€
   200			    1645€
    56			     971€
   278			     584€
    31			    1051€
   445			    1369€
   223			    1883€
   373			     309€
   130			    1739€
   170			    1593€
   163			     244€
   290			    1442€
   425			     881€
   185			    1863€
   368			    1366€
   200			    1645€
   278			     584€
    31			    1051€
   445			    1369€
   223			    1883€
   373			     309€
   130			    1739€
   170			    1593€
   163			     244€
   290			    1442€
   425			     881€
   185			    1863€
   368			    1366€
   278			     584€
    31			    1051€
   445			    1369€
   223			    1883€
   373			     309€
   130			    1739€
   170			    1593€
   163			     244€
   290			    1442€
   425			     881€
   185			    1863€
   278			     584€
    31			    1051€
   445			    1369€
   223			    1883€
   373			     309€
   130			    1739€
   170			    1593€
   163			     244€
   290			    1442€
   425			     881€
   185			    1863€
   368			    1366€
   278			     584€
    31			    1051€
   445			    1369€
   223			    1883€
   373			     309€
   130			    1739€
   170			    1593€
   163			     244€
   290			    1442€
   425			     881€
   185			    1863€
   278			     584€
    31			    1051€
   445			    1369€
   223			    1883€
   373			     309€
   130			    1739€
   170			    1593€
   163			     244€
   290			    1442€
   425			     881€
   185			    1863€
   368			    1366€
   278			     584€
    31			    1051€
   445			    1369€
   223			    1883€
   373			     309€
   130			    1739€
   170			    1593€
   163			     244€
   290			    1442€
   425			     881€
   185			    1863€
   368			    1366€
   200			    1645€
    56			     971€
   212			    1382€
=================================
N_Orders: 434	T_Reward: 519917€
