Truck_id: 34
Total Reward: 215332€
=================================
  OrderId			Reward
=================================
    80			     716€
   353			     957€
   337			    1261€
   265			    1170€
   377			    1232€
   192			    1521€
    27			     724€
    81			     521€
     3			    1370€
   384			     952€
    80			     716€
   353			     957€
   337			    1261€
   265			    1170€
   377			    1232€
   192			    1521€
    27			     724€
    81			     521€
     3			    1370€
   384			     952€
    80			     716€
   353			     957€
   337			    1261€
   265			    1170€
   377			    1232€
   192			    1521€
    27			     724€
    81			     521€
     3			    1370€
    80			     716€
   353			     957€
   337			    1261€
   265			    1170€
   377			    1232€
   192			    1521€
    27			     724€
    81			     521€
     3			    1370€
   384			     952€
    75			     221€
    80			     716€
   353			     957€
   337			    1261€
   265			    1170€
   377			    1232€
   192			    1521€
    27			     724€
    81			     521€
     3			    1370€
   384			     952€
    75			     221€
    80			     716€
   353			     957€
   337			    1261€
   265			    1170€
   377			    1232€
   192			    1521€
    27			     724€
    81			     521€
     3			    1370€
   384			     952€
    80			     716€
   353			     957€
   337			    1261€
   265			    1170€
   377			    1232€
   192			    1521€
    27			     724€
    81			     521€
     3			    1370€
   384			     952€
    80			     716€
   353			     957€
   337			    1261€
   265			    1170€
   377			    1232€
   192			    1521€
    27			     724€
    81			     521€
     3			    1370€
   384			     952€
    75			     221€
    80			     716€
   353			     957€
   337			    1261€
   265			    1170€
   377			    1232€
   192			    1521€
    27			     724€
    81			     521€
     3			    1370€
   384			     952€
    80			     716€
   353			     957€
   337			    1261€
   265			    1170€
   377			    1232€
   192			    1521€
    27			     724€
    81			     521€
     3			    1370€
   384			     952€
    75			     221€
    80			     716€
   353			     957€
   337			    1261€
   265			    1170€
   377			    1232€
   192			    1521€
    27			     724€
    81			     521€
     3			    1370€
   384			     952€
    80			     716€
   353			     957€
   337			    1261€
   265			    1170€
   377			    1232€
   192			    1521€
    27			     724€
    81			     521€
     3			    1370€
   384			     952€
    80			     716€
   353			     957€
   337			    1261€
   265			    1170€
   377			    1232€
   192			    1521€
    27			     724€
    81			     521€
     3			    1370€
   384			     952€
    80			     716€
   353			     957€
   337			    1261€
   265			    1170€
   377			    1232€
   192			    1521€
    27			     724€
    81			     521€
     3			    1370€
    80			     716€
   353			     957€
   337			    1261€
   265			    1170€
   377			    1232€
   192			    1521€
    27			     724€
    81			     521€
     3			    1370€
   384			     952€
    75			     221€
    80			     716€
   353			     957€
   337			    1261€
   265			    1170€
   377			    1232€
   192			    1521€
    27			     724€
    81			     521€
     3			    1370€
   384			     952€
    75			     221€
    80			     716€
   353			     957€
   337			    1261€
   265			    1170€
   377			    1232€
   192			    1521€
    27			     724€
    81			     521€
     3			    1370€
    80			     716€
   353			     957€
   337			    1261€
   265			    1170€
   377			    1232€
   192			    1521€
    27			     724€
    81			     521€
     3			    1370€
   384			     952€
    80			     716€
   353			     957€
   337			    1261€
   265			    1170€
   377			    1232€
   192			    1521€
    27			     724€
    81			     521€
     3			    1370€
    80			     716€
   353			     957€
   337			    1261€
   265			    1170€
   377			    1232€
   192			    1521€
    27			     724€
    81			     521€
     3			    1370€
   384			     952€
    80			     716€
   353			     957€
   337			    1261€
   265			    1170€
   377			    1232€
   192			    1521€
    27			     724€
    81			     521€
     3			    1370€
   384			     952€
    75			     221€
    80			     716€
   353			     957€
   337			    1261€
   265			    1170€
   377			    1232€
   192			    1521€
    27			     724€
    81			     521€
     3			    1370€
   384			     952€
    75			     221€
    84			    1909€
=================================
N_Orders: 225	T_Reward: 229197€
