Truck_id: 19
Total Reward: 200618€
=================================
  OrderId			Reward
=================================
   214			    1628€
   355			    1897€
   364			     470€
    97			    1719€
   118			     287€
   267			     602€
   405			    1200€
    66			     783€
   256			    1260€
   186			    1804€
   378			     327€
   285			    1863€
   214			    1628€
   355			    1897€
   364			     470€
    97			    1719€
   118			     287€
   267			     602€
   405			    1200€
    66			     783€
   256			    1260€
   186			    1804€
   378			     327€
   285			    1863€
    72			    1821€
   214			    1628€
   355			    1897€
   364			     470€
    97			    1719€
   118			     287€
   267			     602€
   405			    1200€
    66			     783€
   256			    1260€
   186			    1804€
   378			     327€
   285			    1863€
    72			    1821€
   309			     935€
   214			    1628€
   355			    1897€
   364			     470€
    97			    1719€
   118			     287€
   267			     602€
   405			    1200€
    66			     783€
   256			    1260€
   186			    1804€
   378			     327€
   285			    1863€
   214			    1628€
   355			    1897€
   364			     470€
    97			    1719€
   118			     287€
   267			     602€
   405			    1200€
    66			     783€
   256			    1260€
   186			    1804€
   378			     327€
   285			    1863€
    72			    1821€
   309			     935€
   214			    1628€
   355			    1897€
   364			     470€
    97			    1719€
   118			     287€
   267			     602€
   405			    1200€
    66			     783€
   256			    1260€
   186			    1804€
   378			     327€
   285			    1863€
    72			    1821€
   195			     827€
   214			    1628€
   355			    1897€
   364			     470€
    97			    1719€
   118			     287€
   267			     602€
   405			    1200€
    66			     783€
   256			    1260€
   186			    1804€
   378			     327€
   285			    1863€
   214			    1628€
   355			    1897€
   364			     470€
    97			    1719€
   118			     287€
   267			     602€
   405			    1200€
    66			     783€
   256			    1260€
   186			    1804€
   378			     327€
   285			    1863€
   214			    1628€
   355			    1897€
   364			     470€
    97			    1719€
   118			     287€
   267			     602€
   405			    1200€
    66			     783€
   256			    1260€
   186			    1804€
   378			     327€
   285			    1863€
    72			    1821€
   309			     935€
   214			    1628€
   355			    1897€
   364			     470€
    97			    1719€
   118			     287€
   267			     602€
   405			    1200€
    66			     783€
   256			    1260€
   186			    1804€
   378			     327€
   285			    1863€
   214			    1628€
   355			    1897€
   364			     470€
    97			    1719€
   118			     287€
   267			     602€
   405			    1200€
    66			     783€
   256			    1260€
   186			    1804€
   378			     327€
   285			    1863€
    72			    1821€
   195			     827€
   214			    1628€
   355			    1897€
   364			     470€
    97			    1719€
   118			     287€
   267			     602€
   405			    1200€
    66			     783€
   256			    1260€
   186			    1804€
   378			     327€
   285			    1863€
    72			    1821€
   214			    1628€
   355			    1897€
   364			     470€
    97			    1719€
   118			     287€
   267			     602€
   405			    1200€
    66			     783€
   256			    1260€
   186			    1804€
   378			     327€
   285			    1863€
   214			    1628€
   355			    1897€
   364			     470€
    97			    1719€
   118			     287€
   267			     602€
   405			    1200€
    66			     783€
   256			    1260€
   186			    1804€
   378			     327€
   285			    1863€
    72			    1821€
   309			     935€
   195			     827€
=================================
N_Orders: 183	T_Reward: 214549€
