Truck_id: 1
Total Reward: 39780€
=================================
  OrderId			Reward
=================================
   397			    1563€
   134			     575€
   149			     715€
   392			     699€
   262			     355€
   141			     453€
    34			    1347€
   427			    1176€
   117			     615€
   431			    1607€
    62			    1565€
    68			    1823€
    54			    1558€
   167			    1641€
   140			    1475€
    47			     579€
   107			     547€
    22			    1886€
   344			    1791€
   260			     984€
   435			     442€
   268			     779€
   396			    1058€
   219			    1445€
    28			     564€
   420			    1921€
   166			     631€
   154			     795€
    21			     621€
   299			     690€
   193			     203€
   144			    1889€
   305			    1313€
   360			    1306€
   194			    1502€
   198			     455€
   222			    1210€
   395			     751€
    37			     472€
   316			     355€
   393			     530€
    88			     466€
   213			     685€
    98			     633€
   231			     699€
    25			    1907€
   387			    1518€
   280			     477€
   330			     704€
   361			     227€
   416			    1391€
   439			    1105€
   440			     836€
    24			     501€
   271			     279€
   139			     262€
=================================
N_Orders: 56	T_Reward: 53576€
