Truck_id: 8
Total Reward: 25203€
=================================
  OrderId			Reward
=================================
  8846			    1628€
    13			    1628€
  3034			    1628€
  5629			    1513€
    61			    1348€
   391			    1513€
  5356			    1348€
   421			    1165€
   100			    1487€
    44			    1160€
    35			    1991€
  1073			    1972€
  8846			    1628€
    13			    1628€
  3034			    1628€
  5629			    1513€
    61			    1348€
   391			    1513€
  5356			    1348€
   421			    1165€
   100			    1487€
    44			    1160€
    35			    1991€
  1073			    1972€
  2444			    1704€
   224			    1704€
=================================
N_Orders: 26	T_Reward: 40170€
